Company,Link,Description
mlpack,http://www.mlpack.org,"mlpack is an intuitive, fast, and flexible C++ machine learning library with bindings to other languages. It is meant to be a machine learning analog to LAPACK, and aims to implement a wide array of machine learning methods and functions as a ""swiss army knife"" for machine learning researchers. In addition to its powerful C++ interface, mlpack also provides command-line programs and Python bindings."
Moira,https://moira.readthedocs.io/,"Moira is used to monitor systems in production.
It helps developers and DevOps engineers to set up triggers for metrics, subscribe to notifications via various channels, and monitor their systems in realtime. Moira consumes metrics in Graphite format and therefore integrates with Graphite and Prometheus.
Moira is powerful and caring. It supports complex expressions in triggers and tag-based subscriptions to notifications. Moira protects developers from alarm fatigue and helps to have calm on call shifts.
Moira is designed by SRE practitioners. It knows that the worst value for metrics is no data, supports maintenance mode for triggers, and uses notification scheduling and throttling.
Moira is written in Go and stores metrics in Redis. That's why Moira is blazingly performant. Moira also has a well-designed web UI which is written in JavaScript with React.
We have a number of backend (Go) and frontend (JavaScript) project ideas for this GSoC."
Moodle,https://moodle.org/,"Moodle is working to develop the very best tool for online learning. Our software is a Learning Management System written in PHP, designed to help teachers facilitate communities of learners in a variety of interesting ways.
Moodle is widely used around the world by universities, schools, companies, and all manner of organizations and individuals who need to conduct education online. Many of our users take part in the community on moodle.org and contribute with ideas, debate, testing, education, documentation, bug fixing, feature writing and everything else that makes an open source project function."
Mozilla,https://mozilla.org,"The Mozilla Project exists to preserve choice, freedom and innovation on the Internet. We are the creators of the award-winning Firefox web browser, the Thunderbird email client and the champions of open web standards and cutting-edge technologies like WebAssembly, WebVR and Rust.
Our mission is to ensure the Internet is a global public resource, open and accessible to all. An Internet that truly puts people first, where individuals can shape their own experience and are empowered, safe and independent.
At Mozilla, we’re a global community of technologists, thinkers and builders working together to keep the Internet alive and accessible, so people worldwide can be informed contributors and creators of the Web. We believe this act of human collaboration across an open platform is essential to individual growth and our collective future, and that future belongs to everyone.
You can learn more about Mozilla's mission at Mozilla.org"
MuseScore,https://musescore.org/,"MuseScore is easy to use, yet powerful, and creates professional-looking sheet music.
MuseScore is available for Linux, Windows and Mac OS X, and is available in 50+ languages. It features an easy to use WYSIWYG editor with audio score playback for results that look and sound beautiful. It supports unlimited staves with up to four voices each, dynamics, articulations, lyrics, chords, lead sheet notation, import/export of MIDI and MusicXML, export to PDF and WAV, plus online score sharing. MuseScore is licensed under GNU GPLv2."
Named Data Networking Project,http://named-data.net/,"While the Internet has far exceeded expectations, it has also stretched initial assumptions, often creating tussles that challenge its underlying communication model. Users and applications operate in terms of content, making it increasingly limiting and difficult to conform to IP’s requirement to communicate by discovering and specifying location. To carry the Internet into the future, a conceptually simple yet transformational architectural shift is required, from today’s focus on where — addresses and hosts — to what — the content that users and applications care about.
The Named Data Networking (NDN) project aims to develop a new Internet architecture that can capitalize on strengths — and address weaknesses — of the Internet’s current host-based, point-to-point communication architecture in order to naturally accommodate emerging patterns of communication. By naming data instead of their locations, NDN transforms data into a first-class entity. The current Internet secures the data container. NDN secures the contents, a design choice that decouples trust in data from trust in hosts, enabling several radically scalable communication mechanisms such as automatic caching to optimize bandwidth. The project studies the technical challenges that must be addressed to validate NDN as a future Internet architecture: routing scalability, fast forwarding, trust models, network security, content protection and privacy, and fundamental communication theory. The project uses end-to-end testbed deployments, simulation, and theoretical analysis to evaluate the proposed architecture, and is developing specifications and prototype implementations of NDN protocols and applications. NDN Technical Report NDN-0001 “Named Data Networking (NDN) Project” is a slightly modified version of the NDN project proposal.
The NDN project was funded by NSF in September 2010 as one of the four projects under NSF’s Future Internet Architecture Program."
National Resource for Network Biology (NRNB),http://www.nrnb.org/gsoc.html,"The National Resource for Network Biology (NRNB) organizes the development of free, open source software technologies to enable network-based visualization, analysis, and biomedical discovery. Biomedical research is increasingly dependent on knowledge expressed in terms of networks, including gene, protein and drug interactions, cell-cell and viral-host communication, and vast social networks. Our technologies enable researchers to assemble and analyze these networks and to use them to better understand biological systems and, in particular, how they fail in disease.
The NRNB mentoring organization includes projects such as Cytoscape, WikiPathways, SBML, and cBioPortal. This is a great opportunity to work at the intersection of biology and computing! For example, Cytoscape is downloaded over 18,000 times per month by researchers. We take mentoring seriously and are proud of our >90% success rate with former students and projects. But don't take our word for it, read testimonials from prior NRNB students students and mentors.
Find out more about the software projects being developed in coordination with NRNB. Also refer to the NRNB GSoC page for additional resources and application tips."
Neovim,http://neovim.io,"Neovim is a fork of Vim aiming to provide a better ""out of the box"" experience on modern systems, for users but also for plugin developers (""extensibility and usability"").
Goals
Provide a flexible, extensible Vim with a first-class, fast scripting alternative (Lua/LuaJit)
Provide a consistent user experience across platforms
Maintain feature parity with Vim
Continue the Vim tradition of backwards compatibility, with few exceptions
Target all platforms supported by libuv
Delegate to plugins, but preserve the utility of the editor core"
Netfilter project,https://www.netfilter.org,"netfilter.org is home to the software of the packet filtering framework inside the Linux 2.4.x and later kernel series. Software commonly associated with netfilter.org are iptables and nftables.
Software inside this framework enables packet filtering, network address [and port] translation (NA[P]T) and other packet mangling. It is the re-designed and heavily improved successor of the previous Linux 2.2.x ipchains and Linux 2.0.x ipfwadm systems.
netfilter is a set of hooks inside the Linux kernel that allows kernel modules to register callback functions with the network stack. A registered callback function is then called back for every packet that traverses the respective hook within the network stack.
nftables is a generic table structure for the definition of rulesets. Each rule within an IP table consists of a number of classifiers and one or more actions.
netfilter, ip_tables, nf_tables, connection tracking (nf_conntrack) and the NAT subsystem together build the major parts of the framework."
NumFOCUS,http://numfocus.org/,"NumFOCUS is a 501(c)(3) nonprofit organization that promotes open practices in research, data, and scientific computing. We accomplish this mission by serving as a fiscal sponsor for open source projects and organizing community-driven educational programs. NumFOCUS currently sponsors over two dozen open source projects including well-known and widely used tools such as Project Jupyter, NumPy, Pandas, Matplotlib, and Julia. (https://numfocus.org/sponsored-projects/) We also organize the popular PyData network of educational events and meetups. (https://pydata.org)"
NV Access,https://www.nvaccess.org/,"For blind people to use a computer, they need a screen reader which reads the text on the screen using a synthetic voice or a braille display. However, in many cases, screen reading software costs more than the computer itself. In the past, this has left computers inaccessible to millions of blind people around the world. This is a critical problem, because without computers, access to education and employment is severely limited, not to mention everyday tasks such as online banking, shopping and accessing the news.
In April 2006, two blind programmers, Michael Curran and James Teh, began to develop a free screen reader called NVDA (NonVisual Desktop Access) for use with computers running Microsoft Windows. They then founded the not-for-profit organisation NV Access to support the development of the NVDA screen reader.
NVDA has been translated by volunteers into more than 50 languages, and used by people in more than 120 countries. It has also won multiple awards.
NVDA allows blind and vision impaired people to access and interact with the Windows operating system and many third party applications. Major highlights include:
Support for popular applications including web browsers such as Mozilla Firefox and Google Chrome, email clients, internet chat software, music players, and office programs such as Microsoft Word and Excel
A built-in speech synthesizer supporting over 50 languages, plus support for many other 3rd party voices
Reporting of textual formatting where available such as font name and size, style and spelling errors
Support for many refreshable braille displays, including input of Braille via braille displays that have a braille keyboard
Ability to run entirely from a USB flash drive or other portable media without the need for installation
Easy to use talking installer
Support for modern Windows Operating Systems including both 32 and 64 bit variants
Ability to run at Windows logon and other secure screens"
Open Astronomy,http://www.OpenAstronomy.org,"OpenAstronomy is a collaboration between open source astronomy and astrophysics projects that are used by researchers and engineers around the world to study our universe either by analysing the data obtained from amazing instruments like the Hubble Space Telescope, the Square Kilometer Array or the Solar Dynamic Observatory, developing very sophisticated numerical models (eg. FLASH) or designing interplanetary trajectories for human-made spacecraft. The analysis of such data helps multiple types of research from being able to forecast a solar storms to detect planets in other stars, from understanding how galaxies are formed to explain the expansion and the origin of the universe.
OpenAstronomy is currently formed by 15 organisations that develop tools for different aspects of astronomy. The range of topics covered by these projects is wide, for example: Astropy is a general Python library for astronomy, providing common tools such as celestial coordinates, image processing, tabular data reading and writing, units and support for astronomy-specific file formats; SunPy provides utilities for obtaining and representing solar physics data, with clients for some of the largest online solar physics data archives and solar specific analysis and visualisation code; Glue is a data visualization application and library to explore relationships within and among related datasets. Julia Astro is a set of packages for general astronomy and astrophysics analysis using Julia; And more!
As a single organisation, we aim to strengthen collaborations between the different sub-organisations, and at the same time increase the awareness among our users on the capabilities of our ""sister"" projects."
Open Bioinformatics Foundation,https://www.open-bio.org/,"The Open Bioinformatics Foundation (OBF) is a non-profit, volunteer-run group dedicated to promoting the practice and philosophy of Open Source software development and Open Science within the biological research community.
Our main activities are:
Running and supporting the BOSC conferences.
Organizing and supporting developer-centric ""Hackathon"" events.
Participating in the Google Summer of Code program on behalf of our member projects as an umbrella mentoring organization.
Managing servers, colocation facilities, bank account, domain names, and other assets for the benefit of our member projects.
Public opinion and policy statements about matters related to Open Source and Open Science in bioinformatics.
The Foundation does not participate directly in the development or structure of the open source work, but as the members of the foundation are drawn from our projects' developer communities, there is clear commonality of direction and purpose.
The OBF is governed by a Board of Directors. Our bylaws lay out how the Board is elected, holds public meetings, and conducts its business, as well as the scope and role of our membership. OBF is an associated project with Software In The Public Interest, Inc., a fiscal sponsorship organization, and through SPI we can accept tax-exempt charitable donations.
The OBF is open to anyone who is interested in promoting open source bioinformatics / open science. Please see the Membership page for more information."
Open Chemistry,https://openchemistry.org/,"The Open Chemistry project is a collection of open source, cross platform libraries and applications for the exploration, analysis and generation of chemical data. The organization is an umbrella of projects developed by long-time collaborators and innovators in open chemistry such as the Avogadro, Open Babel, and cclib projects. These three alone have been downloaded over 1,000,000 times and cited in over 2,000 academic papers. Our goal is to improve the state of the art, and facilitate the open exchange of chemical data and ideas while utilizing the best technologies from quantum chemistry codes, molecular dynamics, informatics, analytics, and visualization."
Open Data Kit,https://opendatakit.org,"Data collection is a key component of social good efforts ranging from polio elimination to rainforest conservation and Open Data Kit (ODK) helps thousands of organizations collect data quickly, accurately, offline, and at scale. Users of ODK software include Red Cross, World Health Organization, Centers for Disease Control, Jane Goodall Institute, Gates Foundation, the Carter Center, and many others.
Contribute and make the world a better place!
Hutan Aceh in Indonesia is home to tigers, elephants, orangutans and rhinos. EIA International and local activists protect it by documenting forest crimes with ODK. The geo-tagged forms, rich with photos, provide the evidence needed to save habitat. Watch video.
For governments working to end polio, access to accurate and timely information makes a world of difference. ODK is used in Jordan, Afghanistan, Pakistan, Somalia, and South Sudan as a key tool in mass polio vaccination campaign quality control. Watch video.
The Jane Goodall Institute uses ODK to empower local communities to better manage and monitor their forests. ODK lets these communities connect directly with the global carbon marketplace and demonstrate the concrete benefits of their efforts to protect the forest. Watch video.
The Carter Center uses ODK to get the real-time data needed to assess elections. Over the last six years, ODK has been used to monitor elections in Liberia, Egypt, Libya, Kenya, Nepal, the Democratic Republic of Congo, Mozambique, and Tunisia. Watch video.
Evaluating global health programs involves collecting, organizing, cleaning, and analyzing data. Population Council, Marie Stopes Uganda, and Gobee Group use ODK to streamline the process. Watch video."
Open Roberta,https://lab.open-roberta.org/,"Introduction
The Roberta Initiative “Learning with Robots” was started more than 15 years ago by Fraunhofer IAIS in Germany with the objective to get kids interested in technology and science by constructing and programming robotic kits. The project provides a gender sensitive course concept and materials for teachers to run coding classes. The idea behind the Open Roberta Lab is to provide a simple and easy to use programming environment for everybody.
The Lab
The Open Roberta® Lab is an open source programming environment, developed to introduce kids to program robots and microcontrollers. The software is a web application running in the browser. Users program robots using a Blockly-based graphical programming language called NEPO®. A simulation is available for those who don't have a real robot at hand. Since 2014 https://lab.open-roberta.org/ is online and has had more than 225 000 visits in 2018 across more than 100 countries.
The backend is written in Java. It provides user management and robot support in the shape of an evolving plugin system. Each robot subsystem handles code generation and communication with the robot. As of now the project comes with 10 different robot plugins:
EV3 LEGO Mindstorms
NXT LEGO Mindstorms
BBC micro:bit
Calliope mini
Bot’n Roll, Arduino-based
NAO, a humanoide robot
Bob3
Nepo4Arduino
mBot
SenseBox
Outlook
While the software is stable and widely used, we're looking for new ideas, but also help on existing ideas to develop the project further."
Open Source Robotics Foundation,https://www.openrobotics.org/,"Open Source Robotics Foundation, Inc. (OSRF) is an independent non-profit organization in Mountain View, California. Our mission is to support the development, distribution, and adoption of open source software for use in robotics research, education, and product development. Our work is supported by contracts, grants, and donations from government and industry. At the time of writing, we have a full-time staff of 28, mostly software engineers."
Open Technologies Aliance - GFOSS,http://www.gfoss.eu,"Open Technologies Alliance(GFOSS) is a platform for Open Standards, Free Software, Open Content, Open Data & Open Hardware in Greece. The major Greek Universities and Research Centers participate in GFOSS, while leading members of the Greek community of developers play a key role in the implementation of our policies. Through our initiatives we aspire to contribute to coordinating the efforts of groups of volunteers, enabling them to form the backbone of Greek FOSS development and implementation."
OpenCV,https://opencv.org,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms (including running deep networks) and apps. It is professionally coded and optimized. It can be used in C++, Python, javascipt, Cuda, OpenCL and Matlab. It runs on: Android, iOS, Windows, Linux and MacOS and many embedded implementations such as Raspberry Pi.
Ideas Page
Mailing List https://groups.google.com/d/forum/opencv-gsoc-2019
Main web pages
The user site is at https://opencv.org/
The developer site is at: https://github.com/opencv/opencv/wiki
Nightly builds of the documentation are at: https://docs.opencv.org/master
Code is at:
OpenCV (the core data structures, optimized algorithms, sample and tutorial code): https://github.com/opencv/opencv
opencv_contrib (new algorithms, applications and GSoC contributions and related tutorial and sample code): https://github.com/opencv/opencv_contrib.git
opencv_extra (extra data and code samples):https://github.com/opencv/opencv_extra
downloads for various OS and mobile devices: https://opencv.org/releases.html
It is also useful to look at the change log: https://github.com/opencv/opencv/wiki/ChangeLog and instructions to install on various platforms: https://docs.opencv.org/3.3.1/df/d65/tutorial_table_of_content_introduction.html
Please see our videos for the past several years of GSoC contributions: (2017: https://docs.opencv.org/master/da/d9d/tutorial_dnn_yolo.html) (2015: https://youtu.be/OUbUFn71S4s) (2014: https://youtu.be/3f76HCHJJRA) (2013: https://youtu.be/_TTtN4frMEA).
Many books on OpenCV, google: books opencv"
OpenMRS,https://openmrs.org/,"Our world continues to be ravaged by a pandemic of epic proportions, as over 40 million people are infected with or dying from HIV/AIDS -- most (up to 95%) are in developing countries. Prevention and treatment of HIV/AIDS on this scale requires efficient information management, which is critical as HIV/AIDS care must increasingly be entrusted to less skilled providers. Whether for lack of time, developers, or money, most HIV/AIDS programs in developing countries manage their information with simple spreadsheets or small, poorly designed databases...if anything at all. To help them, we need to find a way not only to improve management tools, but also to reduce unnecessary, duplicative efforts. As a response to these challenges, OpenMRS formed in 2004 as an open source medical record system framework for developing countries -- a tide which rises all ships. Over the past decade, OpenMRS has been adapted and used beyond HIV/AIDS for TB, Ebola, maternal-child health, and chronic care. OpenMRS is a multi-institution, nonprofit collaborative led by organizations such as Regenstrief Institute, Inc. (regenstrief.org), a world-renowned leader in medical informatics research, and Partners In Health (pih.org), a Boston-based philanthropic organization with a focus on improving the lives of underprivileged people worldwide through health care service and advocacy. We have also formed a non-profit, OpenMRS, Inc., whose mission is to support the worldwide OpenMRS community. These teams nurture a growing worldwide network of individuals and organizations all focused on creating medical record systems and a corresponding implementation network to allow system development self reliance within resource constrained environments. To date, OpenMRS has been implemented in dozens of developing countries, including South Africa, Kenya, Rwanda, Lesotho, Uganda, Tanzania, Haiti, Mozambique, Sierra Leone, and India."
OpenStreetMap,https://www.openstreetmap.org/,"OpenStreetMap is a crowdsourcing project that creates and distributes free geographic data for the world. Our data is collected by volunteers around the globe largely from scratch and released with an open-content license. We allow free access not only to our map images, but all the underlying map data, which powers websites and apps used by billions of people worldwide.
OSM data can be freely used in both open and closed source software, and has attracted many commercial users. Still, the success of OSM wouldn't be possible without open source software and volunteer developers. The database, website and api running on our own servers, the editing tools used by contributors to improve the map, and many of the most popular libraries and end-user applications within the OSM software ecosystem are all open source software, and developed through a community-driven process.
As our Google Summer of Code participation spans this diverse set of software projects, most of which are maintained as independent efforts under the OSM umbrella, students will encounter a diverse range of programming languages, paradigms and use cases. We hope that we have interesting challenges to offer for any developer, no matter their background!"
OpenWISP,http://openwisp.org,"In the summer of 2008 the Metropolitan City of Rome decided to start a free of charge and public Wi-Fi network to be spread over its 5352 SQ KM territory including Rome and 120 other cities for a total of about 4.5 million inhabitants. The main objective of the project, called ProvinciaWiFi (later renamed WiFi Metropolitano), was to take a decisive step to reduce the existing digital divide by fostering and facilitating the use of ICT by citizens. From the outset it was decided to commit the project to a completely open philosophy. For this reason a clear choice towards open software and operating systems and the availability of every modification, update and improvement to the community was made. The same approach was adopted for the knowledge and the experience acquired within the project. In order to pursue this goals the Province of Rome called the university consortium CASPUR (later merged in the CINECA consortium) to develop the technical solution. In this context, a research project conducted by the CINECA consortium found its perfect application. This project proposed an innovative methodology for the distribution of networks (more precisely Virtual LANs used for Wi-Fi connectivity) between geographically distant sites.
The methodology adopted made it possible to host public connectivity services on non-dedicated network infrastructures (e.g.: private xDSL) that for technical and legal reasons could not be used as such. This is not the sole advantage that OpenWISP gave to WiFi Metropolitano: embracing the resource-sharing philosophy – typical of open projects – anyone can contribute to the network expansion simply by hosting an access point.
The software tools and the architectures, including the OpenWISP 2 wifi controller and different NetJSON implementations used in OpenWISP, are released to the public free of charge under open-source licenses, we hope this will allow a broader audience to benefit from this work and improve upon it."
Oppia Foundation,https://github.com/oppia/oppia,"Why Oppia?
Oppia’s aim is to provide personalized tutoring to every single person in the world, especially those whose educational needs are not currently being served well. The Oppia platform allows collaborative creation of interactive learning experiences that simulate a friendly, non-judgmental tutor.
Interactive learning
Oppia teaches content in small units called explorations. Learners (users who visit Oppia to learn something) explore a new topic through an exploration. Explorations can have multiple paths the learner may take depending on their answers (similar to video games). Different answers result in Oppia responding differently.
A user may repeatedly struggle on a certain question. Oppia can detect this and branch away from the current topic, so that learners may practice fundamentals before attempting that question again. Oppia aims to act like a tutor, an educational guide who can help learners practice topics and watch for any mistakes they might make. One of the most important roles of Oppia is to gently show learners where they went wrong and instruct them on a correct approach.
Community-driven lesson creation
The other half of Oppia is a community of creators (users who create explorations). Oppia offers tools for creating new explorations with the goal of allowing anyone to teach just about anything. Creating explorations is very much like creating a video game, and we face some similar challenges. Our exploration editor needs to help creators identify spots in their explorations where users are struggling, or facilitate the creation of targeted responses and branches for certain types of learner answers (such as addressing common misconceptions among learners). Work in this area also includes facilitating the community side of Oppia by encouraging collaborative lesson creation among all topic areas.
Come join us!
Oppia is a very exciting project to work on and we're really excited for more people to join us!"
OSGeo,https://osgeo.org,"OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community in general and several code projects in particular:
Web Mapping
deegree, geomajas, GeoMOOSE, GeoServer, Mapbender, MapFish, MapGuide Open Source, MapServer, OpenLayers
Desktop Applications
GRASS GIS, gvSIG, Marble, QGIS
Geospatial Libraries
FDO, GDAL/OGR, GEOS, GeoTools, OSSIM, PostGIS
Metadata Catalogues
GeoNetwork, pycsw
Content Management Systems
GeoNode
Other Incubating Projects
istSOS, MetaCRS, Opticks, Orfeo ToolBox (OTB), PyWPS, Team Engine, ZOO-Project
Other (non-code) Projects
GeoForAll (Education and Curriculum), OSGeo-Live DVD, Public Geospatial Data
We host regional and international FOSS4G conferences with typical attendance of 500-1100+ geospatial developers, industry and government leaders, and researchers. Our mailing lists collectively go out to ~ 30,000 unique subscribers."
OWASP Foundation,https://www.owasp.org,"OWASP is the Open Web Application Security Project. It is an open community dedicated to enabling organizations to develop, purchase, and maintain applications that can be trusted. All of the OWASP tools, documents, forums, and chapters are free and open to anyone interested in improving application security. We advocate approaching application security as a “people, process, and technology” problem, because the most effective approaches to application security include improvements in all of these areas."
PEcAn Project,http://pecanproject.org,"Why PEcAn?
Climate change science has witnessed an explosion in the amount and types of data that can be brought to bear on the potential responses of the terrestrial carbon cycle and biodiversity to global change. Many of the most pressing questions about global change are limited by our ability to synthesize existing data. Predictive Ecosystem Analyzer (PEcAn) project specifically seeks to improve this ability. Ultimately, PEcAn aims to make ecosystem modelling and data assimilation routine tools for answering scientific questions and informing policy and management.
How does PEcAn do that?
PEcAn consists of 1) state-of-the-art ecosystem models that themselves are scaffolds for integrating multiple data sources and theory, 2) a workflow management system to handle the numerous streams of data, and 3) a data assimilation statistical framework in order to synthesize the data with the model. PEcAn automates analyses aimed at understanding and forecasting ecosystem responses through these models.
Transparency, repeatability, accessibility
PEcAn's scientific workflow management fully captures the informatics of where the model inputs came from, how they were processed, how sets of model runs were completed, and how the model output was post-processed and visualized for maximizing transparency and repeatability. PEcAn's intuitive web-based interface allows non-modelers or novices to use models and techniques developed by experts.
High functionality and performance
In addition to making the PEcAn source code open source, the system is also available as a fully functional virtual application that runs on a wide range of operating systems. The system can also interact with remote high-performance computing environments, allowing model runs to be done in parallel on remote clusters. Lastly, we're moving to use software containers to make PEcAn even more light weight and easy to use as well as implementing an API to turn PEcAn into a SaaS product."
Percona,http://www.percona.com,"Percona is an unbiased, trusted database partner that provides open source enterprise-grade database software, including Percona Server for MySQL, Percona Server for MongoDB, Percona XtraDB Cluster and Percona XtraBackup.
We also build tools for database monitoring and management. Percona Monitoring and Management is a free and open-source platform for managing and monitoring MySQL, MariaDB, MongoDB and PostgreSQL performance on premises and in the cloud. Percona Toolkit and Percona Monitoring Plugins also help DBA's across the globe to automate and simply tedious day-to-day tasks.
Percona's fully open source and free database software choices are drop-in replacements for MySQL and MongoDB, and provide equivalent enterprise-grade features that are normally only available through paid subscriptions.
We've worked with thousands of customers, many of which are the biggest and most recognizable online names. Our solutions have become productivity and innovation best practices.
Percona can help your enterprise maximize the power, flexibility and cost effectiveness of open source solutions so that you can meet customer expectations and business goals."
Performance Co-Pilot,https://pcp.io,"The Performance Co-Pilot is a toolkit designed for monitoring and managing system-level performance. These services are distributed and scale to accommodate very complex system configurations and performance problems.
PCP supports many different platforms, including (but not limited to) Linux, Mac OS X, Solaris and Windows. From a high-level PCP can be considered to contain two classes of software utility:
PCP Collectors These are the parts of PCP that collect and extract performance data from various sources, e.g. the operating system kernel.
PCP Monitors These are the parts of PCP that display data collected from hosts (or archives) that have the PCP Collector installed. Many monitor tools are available as part of the core PCP release, while other (typically graphical) monitoring tools are available separately in the PCP GUI or PCP WebApp packages.
The PCP architecture is distributed in the sense that any PCP tool may be executing remotely. On the host (or hosts) being monitored, each domain of performance metrics, whether the kernel, a service layer, a database management system, a web server, an application, etc. requires a Performance Metrics Domain Agent (PMDA) which is responsible for collecting performance measurements from that domain. All PMDAs are controlled by the Performance Metrics Collector Daemon (PMCD) on the same host.
Client applications (the monitoring tools) connect to PMCD, which acts as a router for requests, by forwarding requests to the appropriate PMDA and returning the responses to the clients. Clients may also access performance data from a PCP archive for retrospective analysis."
Pharo Consortium,https://pharo.org/,"Pharo an open source project released under the MIT Licence. Pharo is a minimal, elegant, pure, reflective object language. Everything in Pharo is an object. The entire syntax of Pharo fits on a postcard coding can be done directly in the debugger. Pharo has super cool tools that empower you and make you super efficient. Pharo's goal is to deliver a clean, innovative, free and open-source immersive environment. By providing a stable and small core system, excellent developing tools, and maintained releases, Pharo is an attractive platform to build and deploy mission critical applications. Pharo fosters a healthy ecosystem of both private and commercial contributors who advance and maintain the core system and its external packages."
phpMyAdmin,https://www.phpmyadmin.net,"phpMyAdmin is a free and open source tool written in PHP intended to handle the administration of MySQL with the use of a web browser. It can perform various tasks such as creating, modifying or deleting databases, tables, fields or rows; executing SQL statements; or managing users and permissions."
Pitivi,http://pitivi.org/,"Pitivi is a truly unique video editor.
With its ""no downstream hacks"" and ""upstream first"" approach, it acts as a cutting-edge catalyst to push open-source technologies we love forward.
It champions design and usability research: there is no eternal newbie, and Pitivi's user interface is carefully designed to suit both the newcomer and the professional, to be efficient and intuitive. We adhere to the GNOME Human Interface Guidelines and regularly discuss with artists all around the planet to tackle the hard problems the right way, to make complex tasks easy to accomplish.
It is a vibrant community-driven project, backed by longstanding contributors with a strong interest and experience in multimedia.
Ecosystem
Pitivi is based on the GStreamer Editing Services library in which we take part. With the GStreamer Editing Services library, we are laying solid foundations for the future based upon over a decade of experience. Built atop the giant shoulders of the industry-standard GStreamer multimedia framework, GES reduces fragmentation and risk while allowing diversity for application writers and adaptability for all kinds of purposes.
The pipeline-based GStreamer multimedia framework is in use on most of the Linux systems. Not only that, but GStreamer is cross-platform, and is also used on embedded devices. Thus, lots of people benefit when we fix a bug upstream, in GStreamer, or push for new features to cover the demanding video-editing use-case.
In addition to GStreamer's own codecs and video/audio effects, we can easily use other framework's codecs and effects, such as FFMPEG and Frei0r, through various GStreamer plugins available in the good/bad/ugly collections. You have any multimedia building-block you might want in Pitivi.
Tooling
The many dependent libraries make video editing apps very complex. We use Flatpak to build a dev env in which we know exactly what version of the dependencies are. Thus you can easily create a working and stable dev env in no time."
PostgreSQL,https://www.postgresql.org,"PostgreSQL is a powerful, open source object-relational database system that uses and extends the SQL language combined with many features that safely store and scale the most complicated data workloads. The origins of PostgreSQL date back to 1986 as part of the POSTGRES project at the University of California at Berkeley and has more than 30 years of active development on the core platform.
PostgreSQL has earned a strong reputation for its proven architecture, reliability, data integrity, robust feature set, extensibility, and the dedication of the open source community behind the software to consistently deliver performant and innovative solutions. PostgreSQL runs on all major operating systems, has been ACID-compliant since 2001, and has powerful add-ons such as the popular PostGIS geospatial database extender. It is no surprise that PostgreSQL has become the open source relational database of choice for many people and organisations.
Getting started with using PostgreSQL has never been easier - pick a project you want to build, and let PostgreSQL safely and robustly store your data."
Project PANOPTES,https://projectpanoptes.org,"A citizen science project which aims to make it easy for anyone to build a low cost, robotic telescope which can be used to detect transiting exoplanets.
The PANOPTES community spans the world, from the founding members in Hawaii to designers, builders and scientists in Europe, Australia, and North and South America. We’re looking forward to our members in Africa and Asia! We use a variety of means to communicate, including a Google Group for announcements and a forum for discussions.
PANOPTES occupies a unique niche in the ongoing search for exoplanets. Previous missions, such as Kepler, have focused primarily on one region of the sky, taking deep images in order to discover transiting exoplanets around mostly distant stars, leading to limited opportunities for imaging follow up as the majority of the targets are far away and dim. Current projects aim to fill this gap by targeting relatively bright and near stars, but continue to utilize expensive equipment and optimal site locations in order to ensure success, thus limiting the ability of the project to grow and adapt.
PANOPTES is attractive because it can complement these missions, doing so cheaply and with the involvement of citizen scientists. And while the primary scientific interest of the PANOPTES project is to aid in the discovery of exoplanets via the transit-detection technique, PANOPTES is also a platform. We encourage other groups to come up with projects which use PANOPTES data, hardware or software to address other scientific questions, such as supernovae, near-earth objects (NEO), space debris, and more. It is the hope of the project that schools will come up with novel ways to utilize the unit and the data it gathers."
Public Lab,https://publiclab.org,"Measuring pollution at low cost
Public Lab is focused on democratizing the tools and techniques of environmental science so that communities who face pollution and other environmental problems can actually use them.
We believe that low cost, open source, easy to use hardware and software can enable anyone to collect data with which to hold polluters accountable.
Sensor data and open hardware development
Public Lab software projects focus on two areas: community collaboration and open hardware development (PublicLab.org), and data processing for our sensors and tools (MapKnitter.org and SpectralWorkbench.org, among others).
Our collaboration and development platform PublicLab.org enables thousands of people to publish updates and share designs for emerging environmental open hardware projects. Our browser-based data analysis tools make use of HTML5 features such as CSS 3d transforms for image distortion and the WebRTC webcam API for capturing spectral data, to make advanced features available to users in a powerful cross-platform, user-friendly, database-backed approach to open science tools."
Purr Data,https://www.purrdata.net/,"Purr data is a visual programming language built for low-latency, realtime DSP synthesis. In addition to core functionality for working with audio and 2d graphics, it ships with a large set of libraries to handle video, 2D/3D graphics, sensors, input devices, and networking.
Purr data has a special emphasis on generating audio and/or video in real time, with low latency. Much of its design focuses on receiving, manipulating, and delivering high-quality audio signals. Specifically, the software addresses the problem of doing this efficiently and reliably on general purpose operating systems like OSX, Windows, Debian, etc.-- i.e., systems designed mainly for multi-tasking.
Purr Data builds on code from several other software projects: Pure Data-- which is the audio and scripting engine, Pd-extended-- which is a now abandoned application that shipped Pure Data with lots of external libraries, and Pd-l2ork-- which added long-needed usability enhancements like infinite-undo and native state-saving mechanisms to Pure Data.
Purr Data uses a GUI based on the nw.js toolkit. This means the entire GUI is built using HTML5 technologies, and any of those-- including thousands of web frameworks, the Gamepad API, WebGL, etc.-- may be leveraged by users and developers."
